customer_id,telecom_partner,gender,age,state,city,pincode,registration_event,num_dependents,estimated_salary,calls_made,sms_sent,data_used,churn
15169,Airtel,F,26,Himachal Pradesh,Delhi,667173,2020-03-16,4,85979,75,21,4532,1
149207,Airtel,F,74,Uttarakhand,Hyderabad,313997,2022-01-16,0,69445,35,38,723,1
148119,Airtel,F,54,Jharkhand,Chennai,549925,2022-01-11,2,75949,70,47,4688,1
187288,Reliance Jio,M,29,Bihar,Hyderabad,230636,2022-07-26,3,34272,95,32,10241,1
14016,Vodafone,M,45,Nagaland,Bangalore,188036,2020-03-11,4,34157,66,23,5246,1
226400,BSNL,M,69,West Bengal,Delhi,737995,2023-02-07,4,90874,65,18,5961,1
231590,Reliance Jio,M,34,Punjab,Chennai,142400,2023-03-05,3,126886,16,17,5732,1
194307,BSNL,F,55,Arunachal Pradesh,Chennai,762756,2022-08-30,2,38923,45,-2,531,1
48459,Airtel,F,50,Maharashtra,Hyderabad,825280,2020-08-30,3,37305,-4,51,8292,1
156011,BSNL,M,38,Odisha,Kolkata,521017,2022-02-19,4,97705,22,36,6726,1
71275,BSNL,M,27,Kerala,Mumbai,176668,2020-12-22,3,71783,35,17,1298,1
76147,Reliance Jio,M,20,Maharashtra,Hyderabad,309610,2021-01-16,3,52286,88,4,10311,1
135752,Vodafone,M,47,Nagaland,Bangalore,139344,2021-11-10,1,63666,80,4,46,1
121118,Airtel,F,62,Mizoram,Kolkata,604771,2021-08-29,1,40841,26,16,4562,1
45892,BSNL,F,31,West Bengal,Delhi,435398,2020-08-17,0,50641,49,39,3410,1
152023,Airtel,F,73,Rajasthan,Kolkata,504584,2022-01-30,4,29586,12,16,10052,1
144742,BSNL,M,24,Tripura,Bangalore,791982,2021-12-25,1,48009,90,18,2191,1
40454,Reliance Jio,F,23,Gujarat,Kolkata,340492,2020-07-21,1,71139,76,51,1181,1
68000,BSNL,M,63,Jharkhand,Bangalore,480979,2020-12-06,3,101501,51,42,1734,1
122677,Vodafone,F,23,Bihar,Delhi,843965,2021-09-06,1,119072,42,39,3376,1
31492,Vodafone,M,70,Mizoram,Bangalore,454629,2020-06-06,2,67518,35,19,8317,1
90014,Airtel,M,51,West Bengal,Bangalore,129549,2021-03-26,4,71531,30,16,6680,1
146704,Reliance Jio,F,39,Gujarat,Delhi,705463,2022-01-04,0,83038,2,1,2758,1
143947,Vodafone,M,42,Kerala,Bangalore,307417,2021-12-21,4,36868,28,2,9723,1
205899,Vodafone,M,47,Punjab,Delhi,309712,2022-10-27,4,145463,30,14,8770,1
239,Reliance Jio,M,66,Tamil Nadu,Mumbai,457276,2020-01-02,2,38426,88,25,9296,1
72439,BSNL,M,37,Tripura,Chennai,721347,2020-12-28,3,22960,33,38,3933,1
200377,Vodafone,F,45,Karnataka,Delhi,661909,2022-09-29,1,108296,30,40,3093,1
36842,Airtel,M,31,Gujarat,Bangalore,829808,2020-07-03,1,88834,44,12,6454,1
218320,BSNL,M,44,West Bengal,Kolkata,126083,2022-12-28,0,48515,49,41,8049,1
142390,BSNL,F,34,Mizoram,Bangalore,946831,2021-12-13,1,28628,63,7,5742,1
57826,BSNL,F,43,Maharashtra,Chennai,882797,2020-10-16,4,34640,93,16,8380,1
213444,BSNL,M,65,Tamil Nadu,Chennai,883435,2022-12-04,4,90691,83,43,8137,1
214659,Vodafone,M,60,West Bengal,Hyderabad,478419,2022-12-10,0,87401,61,12,2595,1
61979,Reliance Jio,M,56,Gujarat,Bangalore,123169,2020-11-06,0,26248,52,18,994,1
31096,Airtel,F,55,Madhya Pradesh,Bangalore,661694,2020-06-04,1,27801,92,45,2437,1
167284,Vodafone,M,56,Odisha,Chennai,213050,2022-04-17,2,138918,80,14,6809,1
